smiles,fitness,score,generation
c1cc(-c2cc3ccc4c5[nH]ccc5c5c[nH]cc5c4cc3c2)c2c[nH]cc2c1,7.0555,0.21174979,0.0
c1ccc2c(-c3cnc4c(c3)c3c[nH]cc3c3cc5ccncc5cc43)cccc2c1,7.2377,0.30496407,0.0
c1csc(-c2cc3c4cocc4c4c5[nH]ccc5c5cscc5c4c3cn2)c1,7.5587,0.4551134,0.0
c1ccc(-c2cnc(-c3ccc(-c4cccc5nsnc45)c4cocc34)c3nsnc23)cc1,6.8382,0.09546888,0.0
c1cc(-c2ccc3c(c2)sc2c4c5c[nH]cc5ccc4c4cocc4c32)c2cocc2c1,8.8484,0.83330226,0.0
c1ccc2c(c1)c(-c1scc3nccnc13)cc1sc3c4sccc4c4ccccc4c3c12,9.2473,0.88912654,0.0
c1cnc2c(c1)oc1c3c4cocc4ccc3c3ccccc3c21,6.0336,-0.33260912,0.0
C1=c2c(-c3nccc4nsnc34)cc3oc4c(cnc5ccc6ccccc6c54)c3c2=CC1,5.3188,-0.62793607,0.0
c1cc(-c2cc3ccc4c5ccccc5ccc4c3c3cocc23)c2cocc2c1,8.3056,0.7167785,0.0
C1=CCC(c2cc3[nH]c4c(ccc5ccsc54)c3c3ccccc23)=C1,7.0323,0.19955754,0.0
C1=c2c(-c3nccs3)cc3cc4c5c(c6ccc7c[nH]cc7c6c4cc3c2=CC1)=CCC=5,4.6804,-0.796264,0.0
C1=Cc2sc(-c3cc4c5cocc5ccc4c4nsnc34)cc2C1,5.8885,-0.40145445,0.0
c1cc2c(-c3cnc4c(c3)sc3c5c6c[nH]cc6ccc5c5cocc5c43)scc2s1,8.7734,0.8202857,0.0
c1ccc2c(-c3scc4cc[nH]c34)ccc(-c3ccc(-c4scc5occc45)o3)c2c1,8.7843,0.8222327,0.0
C1=CCC(C2=CC=C(c3sc(-c4ccccc4)c4c3CC=C4)C2)=C1,6.5842,-0.04359293,0.0
C1=c2c(-c3cc4c(ccc5cocc54)s3)cc3ncccc3c2=CC1,4.8274,-0.76478994,0.0
c1ccc2c(c1)sc1c3ncc(-c4nccs4)cc3c3c[nH]cc3c21,6.2075,-0.24523115,0.0
c1ccc2c(-c3cc4c5cscc5c5c([nH]c6ccsc65)c4cn3)cccc2c1,7.9657,0.61347187,0.0
C1=c2cccc(-c3ccc(-c4sc(-c5ccc[nH]5)c5occc45)c4cocc34)c2=CC1,6.5343,-0.07088381,0.0
c1ccc(-c2cnc(-c3ccc(-c4ccc[nH]4)cn3)s2)nc1,4.2622,-0.86623687,0.0
C1=c2c(c3c([nH]c4ccc5cscc5c43)c3occc23)=CC1,4.2467,-0.86834455,0.0
C1=C(c2cccc3c2=CCC=3)Cc2c1c1nsnc1c1ccc3cscc3c21,5.1206,-0.6893742,0.0
C1=CCC(c2sc(-c3ccc(-c4ncncn4)nc3)c3c2CC=C3)=C1,4.5747,-0.8165319,0.0
c1cc(-c2cc3c4cscc4c4c(ccc5ccsc54)c3c3cscc23)c2cscc2c1,10.5188,0.9713391,0.0
c1csc(-c2ccc(-c3sc(-c4nccs4)c4cc[nH]c34)[nH]2)n1,5.4715,-0.5744959,0.0
c1cc(-c2ccc(-c3ccc(-c4cccc5nsnc45)c4cocc34)cc2)c2cscc2c1,8.6532,0.7975091,0.0
c1ccc(-c2cc3cc4[nH]c5ccc6cscc6c5c4cc3c3ccccc23)nc1,7.9042,0.59198844,0.0
C1=C(c2cccc3c[nH]cc23)Cc2c1c1cocc1c1c2[nH]c2cc[nH]c21,5.9734,-0.3616591,0.0
c1cc2c(-c3ccc(-c4ccc(-c5cncs5)c5c[nH]cc45)c4c[nH]cc34)scc2[nH]1,7.6495,0.4937116,0.0
c1cc2[nH]c3c4ncc(-c5cncc6nsnc56)cc4sc3c2cn1,4.3925,-0.84724367,0.0
C1=C(c2nccc3nsnc23)Cc2c1cnc1c3occc3c3nsnc3c21,4.4821,-0.83277875,0.0
c1csc(-c2ccc(-c3ncc(-c4cccc5nsnc45)s3)s2)c1,6.2718,-0.2117933,0.0
c1ccc(-c2cc3c(o2)-c2[nH]c4ccc5ccccc5c4c2C3)cc1,6.1523,-0.27348173,0.0
c1ncnc(-c2ccc(-c3ccc(-c4nccc5nsnc45)nc3)c2nsn1,,0.0,0.0
C1=C(c2cccc3c2=CCC=3)CC(c2sc(-c3cccnc3)c3[nH]ccc23)=C1,5.1268,-0.68758464,0.0
C1=Cc2c(c3c4nsnc4c4cc(-c5nccc6nsnc56)ccc4c3c3cocc23)C1,6.3799,-0.15448213,0.0
C1=Cc2c(csc2-c2sc(-c3sc(-c4scc5ccoc45)c4ccoc34)c3c2C=CC3)C1,9.5646,0.9204335,0.0
c1ccc(-c2ccc3c(c2)oc2c4occc4oc32)cc1,5.5922,-0.5284375,0.0
C1=c2c(c3c([nH]c4ccc5cscc5c43)c3cnc(-c4cccs2)c2ccccc23)=CC1,,0.0,0.0
c1ccc2c(-c3ccc(-c4sc(-c5cncs5)c5cc[nH]c45)c4cscc34)cccc2c1,9.0548,0.8648075,0.0
C1=Cc2c(-c3ccco3)sc(-c3ccc(-c4ncncn4)c4nsnc34)c2C1,5.1011,-0.6949482,0.0
C1=Cc2c(c3c4ccccc4c4cc(-c5scc6ccsc56)cnc4c3c3cscc23)C1,9.2684,0.89152694,0.0
c1cc(-c2cnc(-c3ccc(-c4nccc5nsnc45)[nH]3)s2)c2c[nH]cc2c1,5.3532,-0.6163667,0.0
C1=Cc2csc(-c3cc4ncc5c6c(sc5c4s3)C=CC6)c2C1,6.3781,-0.15544623,0.0
C1=Cc2c(-c3scc4ccsc34)sc(-c3sc(-c4ccc[nH]4)c4occc34)c2C1,8.7304,0.81241584,0.0
C1=Cc2csc(-c3sc(-c4ccc(-c5ccco5)c5c4=CCC=5)c4occc34)c2C1,6.6838,0.011034131,0.0
C1=Cc2cnc3c(cnc4cc(-c5cccc6cocc56)c5ccccc5c43)c2C1,6.9187,0.13902819,0.0
c1coc(-c2ccc(-c3ccc(-c4scc5occc45)c4cocc34)[nH]2)c1,7.1626,0.26713228,0.0
c1csc(-c2ccc(-c3sc(-c4cncc5nsnc45)c4sccc34)c3cscc23)n1,8.0347,0.63653874,0.0
C1=CCC(c2cnc3c(c2)[nH]c2c3oc3ccc4nsnc4c32)=C1,4.8103,-0.7686572,0.0
C1=C(c2ccccc2)Cc2c1sc1c2[nH]c2ccc3cscc3c21,6.694,0.016629934,0.0
C1=c2ccc3cnc4c(ncc5cc(-c6scc7cc[nH]c67)c6ccccc6c54)c3c2=CC1,6.2639,-0.21593016,0.0
c1cc2oc3c(ccc4cc(-c5scc6ccsc56)ncc43)c2[nH]1,6.4055,-0.14074063,0.0
c1cc(-c2cnc(-c3ncc(-c4scc5cc[nH]c45)s3)c3nsnc23)c2cscc2c1,7.3013,0.3362726,0.0
c1cc(-c2cnc3c(ccc4cc5ccc6nsnc6c5cc43)c2)c2cocc2c1,6.9591,0.16069841,0.0
C1=c2ccc3[nH]c4c(c3c2=CC1)Cc1cc(-c2ccccc2)[nH]c1-3,,0.0,0.0
C1=CCC(c2cc3c4cscc4c4c(sc5ccc6c(c54)=CCC=6)c3c3c2=CCC=3)=C1,5.6951,-0.4865337,0.0
c1ccc2c(c1)ccc1ncc3c4ccccc4c4nsnc4c3c12,5.6991,-0.48485643,0.0
C1=C(c2cccc3c2=CCC=3)Cc2cc3c(ccc4ccncc43)cc21,4.4494,-0.8381967,0.0
C1=c2c(c3c(cnc4ccc5c[nH]cc5c43)c3ccc(-c4cncs4)cc23)=CC1,5.1107,-0.69221437,0.0
c1cc2ccc3c(c2cn1)c1cocc1c1cc(-c2cncc4nsnc24)c2nsnc2c1,,0.0,0.0
C1=C(c2cccc3nsnc23)Cc2c1c1nsnc1c1c2[nH]c2ccc3c[nH]cc3c21,5.9085,-0.39220798,0.0
c1ccc2c(c1)c1cc(-c3scc4nccnc34)sc1c1c3c[nH]cc3c3cc[nH]c3c21,7.842,0.5693698,0.0
c1csc(-c2cnc3c(c2)ncc2c4sccc4sc23)c1,5.7877,-0.4468001,0.0
C1=Cc2sc3c([nH]c4cc(-c5ncncn5)c5cocc5c43)c2C1,4.5501,-0.8209815,0.0
c1c[nH]c(-c2ccc3c(c2)c2cocc2c2c4ncccc4oc32)c1,5.8755,-0.4074213,0.0
c1cc(-c2ncc(-c3ncc(-c4scc5ccsc45)c4nsnc34)s2)c2nsnc2c1,6.8247,0.0881232,0.0
c1ncnc(-c2cc3oc4c(cnc5ccc6cscc6c54)c3o2)n1,4.7939,-0.7723141,0.0
C1=c2ccc3c4nsnc4c4c(ccc5cc(-c6cccs6)[nH]c54)c3c2=CC1,5.1722,-0.6742238,0.0
c1ncnc(-c2cc3cc4c(ccc5cocc54)cc3[nH]2)n1,3.9193,-0.90622103,0.0
c1cncc(-c2ccc(-c3ccc(-c4scc5ccsc45)cn3)c3c[nH]cc23)c1,7.2351,0.30366945,0.0
c1coc(-c2cc3[nH]c4c(ccc5ccc6ccccc6c54)c3c3c[nH]cc23)c1,7.3688,0.36870563,0.0
c1cc2c(cn1)c1c3c[nH]cc3c3cc(-c4cncc5nsnc45)ncc3c1c1nsnc21,5.4889,-0.568064,0.0
C1=c2ccc3[nH]c4c(c3c2=CC1)Cc1cc(-c2cccc3cocc23)oc1-4,4.71,-0.7902423,0.0
C1=Cc2csc(-c3ccc(-c4sc(-c5scc6ccoc56)c5cc[nH]c45)nc3)c2C1,8.0639,0.6459725,0.0
c1cc(-c2ccc(-c3ccc(-c4cccc5nsnc45)[nH]3)cc2)c2c[nH]cc2c1,6.5017,-0.08865857,0.0
C1=Cc2c(c3cc4oc(-c5scc6occc56)cc4cc3c3cocc23)C1,7.3762,0.37220895,0.0
c1csc(-c2ncc(-c3sc(-c4scc5occc45)c4cc[nH]c34)c3nsnc23)c1,7.4993,0.42888963,0.0
C1=c2cccc(-c3ncc(-c4ncc(-c5cccc6cocc56)c5nsnc45)s3)c2=CC1,5.2547,-0.64877224,0.0
C1=CCC(c2cc3cnc4c5c6c(ccc5c5nsnc5c4c3o2)=CCC=6)=C1,4.4469,-0.8386043,0.0
C1=Cc2c(-c3ccc(-c4ccc[nH]4)c4nsnc34)sc(-c3cccnc3)c2C1,6.0462,-0.32644582,0.0
C1=CCC(c2ccc(-c3ccc(-c4ccco4)c4c3=CCC=4)o2)=C1,4.5146,-0.82723117,0.0
C1=CCC(c2cc3ncc4c(oc5ccsc54)c3c3ccccc23)=C1,6.6922,0.015642643,0.0
C1=c2c(-c3cccc4c[nH]cc34)cc3c4c(c5c(cnc6cc[nH]c65)c3c2=CC1)=CCC=4,3.947,-0.90346605,0.0
C1=c2c(c3c4c(cc(-c5ccccc5)c5nsnc54)c4nsnc4c3c3cnccc23)=CC1,5.1823,-0.67118955,0.0
c1ccc2c(c1)c1cc(-c3scc4ccsc34)c3c[nH]cc3c1c1oc3cc[nH]c3c21,8.645,0.79586554,0.0
c1coc(-c2ccc(-c3ccc(-c4cccc5nsnc45)[nH]3)o2)c1,5.2064,-0.66385794,0.0
C1=Cc2sc3c(ccc4cc(-c5cncc6nsnc56)ncc43)c2C1,5.0855,-0.6993481,0.0
C1=Cc2c(csc2-c2cc3oc4cc5ccccc5cc4c3c3cocc23)C1,7.7832,0.5471635,0.0
c1cc(-c2cnc3c(ccc4c5occc5c5ccccc5c43)c2)c2c[nH]cc2c1,7.4357,0.3999883,0.0
C1=CCC(c2ccc(-c3sc(-c4ncncn4)c4[nH]ccc34)c3cocc23)=C1,5.8379,-0.42448336,0.0
C1=CCC(c2cc3sc4c(sc5ccc6ccccc6c54)c3s2)=C1,7.8272,0.5638559,0.0
C1=Cc2csc(C3=Cc4c(c5cc6c7c(ccc6cc5c5c[nH]cc45)=CCC=7)C3)c2C1,6.1665,-0.266257,0.0
C1=c2cccc(-c3cc4sc5c6[nH]ccc6c6ccccc6c5c4c4nsnc34)c2=CC1,6.3254,-0.18353212,0.0
c1ccc(-c2cc3c4nsnc4c4c5ccccc5c5ccccc5c4c3c3cocc23)cc1,8.7173,0.8099576,0.0
C1=Cc2csc(-c3cc4oc5c6[nH]ccc6sc5c4o3)c2C1,6.0196,-0.33942407,0.0
c1c[nH]c(-c2cc3cnc4c5c6cocc6ccc5c5nsnc5c4c3c3ccccc23)c1,7.4404,0.40215266,0.0
C1=Cc2c(csc2-c2ccc3c(c2)c2cscc2c2c4ccccc4c4c[nH]cc4c32)C1,9.14,0.8761283,0.0
c1cc2c3cscc3c3c4c5cscc5ccc4c4cscc4c3c2o1,8.3833,0.7368833,0.0
C1=CCC(c2cc3oc4c5sccc5c5c(c4c3c3nsnc23)=CCC=5)=C1,5.1134,-0.69144195,0.0
C1=C(c2cccnc2)Cc2c1c1nsnc1c1c2[nH]c2cc[nH]c21,4.1456,-0.881351,0.0
c1cc(-c2cc3c4nsnc4c4c5cnccc5c5nsnc5c4c3s2)c2cocc2c1,7.0253,0.19586658,0.0
c1ccc(-c2ccc(-c3ccc(-c4scc5sccc45)cc3)s2)nc1,7.4203,0.39286578,0.0
C1=C(c2sc(-c3scc4cc[nH]c34)c3sccc23)CC(c2cncc3nsnc23)=C1,7.443,0.40334773,0.0
C1=CCC(c2sc(-c3sc(-c4cccc5nsnc45)c4c3C=CC4)c3cc[nH]c23)=C1,7.5422,0.44790494,0.0
c1ccc(-c2cc3[nH]c4cc5ccc6ccccc6c5cc4c3c3c[nH]cc23)cc1,7.7758,0.5443121,0.0
c1cc(-c2ccc3cc4c(cc3c2)[nH]c2ccc3ccccc3c24)c1,6.5807,-0.045509756,0.0
c1cnc2c(c1)[nH]c1c2cnc2cc(-c3ncncn3)c3cocc3c21,3.8625,-0.9116381,0.0
